更新时间,#genre#
湖北垄上频道,http://171.83.103.119:9999/rtp/239.69.1.43:9898$湖北电信
湖北影视频道,http://171.83.103.119:9999/rtp/239.69.1.204:10866$湖北电信
湖北生活频道,http://171.83.103.119:9999/rtp/239.69.1.205:10872$湖北电信
湖北教育频道,http://171.83.103.119:9999/rtp/239.69.1.206:10878$湖北电信
武汉新闻综合,http://171.83.103.119:9999/rtp/239.69.1.145:10506$湖北电信
武汉电视剧,http://171.83.103.119:9999/rtp/239.69.1.146:10512$湖北电信
武汉科技生活,http://171.83.103.119:9999/rtp/239.69.1.251:11148$湖北电信
武汉文体频道,http://171.83.103.119:9999/rtp/239.69.1.147:10518$湖北电信
武汉教育频道,http://171.83.103.119:9999/rtp/239.69.1.60:9994$湖北电信
阳新综合,http://171.83.103.119:9999/rtp/239.69.1.34:9844$湖北电信
房县综合,http://171.83.103.119:9999/rtp/239.69.1.192:10794$湖北电信
蔡甸综合,http://171.83.103.119:9999/rtp/239.69.1.245:11112$湖北电信

山西,#genre#

福建,#genre#

大湾区,#genre#
